rep,structured_benefit,unstructured_benefit,conversion_contrast
500,0.0490730315446854,-0.00014044642448418632,0.04921347796916958
501,0.06129213310778142,-0.0005898855626582655,0.06188201867043969
502,0.00794943980872631,0.001657302305102304,0.006292137503624007
503,0.035477527976036094,0.0009831462055444051,0.03449438177049169
504,0.044803369790315684,0.001235955581069037,0.04356741420924665
505,0.02252809219062324,-0.00030898675322532654,0.022837078943848566
506,0.023595505580305987,0.0013202309608458807,0.022275274619460106
507,0.012500000372529074,0.0005056183785200341,0.01199438199400904
508,0.053483144566416785,-0.00019662752747540146,0.053679772093892186
509,0.012022473290562607,-0.0007865168154239655,0.012808990105986573
510,0.041460675001144365,0.0007865201681851453,0.04067415483295922
511,0.04132022857666018,0.001348309591412522,0.039971918985247656
512,0.019382021948695205,-0.0006460696458816528,0.020028091594576858
513,0.05320224799215789,-0.0016573049128055795,0.05485955290496347
514,0.030112361907958962,0.0016011267900466475,0.028511235117912315
515,0.043623590469360374,-0.00047752559185032517,0.0441011160612107
516,0.0160112332552671,-0.0002808995544910653,0.016292132809758164
517,0.054662922769785016,-2.80931591988276e-05,0.054691015928983844
518,0.023061799630522795,0.00044943541288378075,0.022612364217639014
519,0.022387640550732613,-0.001882016658782959,0.02426965720951557
520,0.01044943593442449,-0.0017134852707385573,0.012162921205163046
521,0.016151684895157836,-2.808980643753678e-05,0.016179774701595373
522,0.011151687800884269,0.00022471845149996117,0.010926969349384308
523,0.016348314657807395,0.001797754317522049,0.014550560340285346
524,0.027528090029954932,-0.0003651648759841475,0.02789325490593908
525,0.0077809005975723045,0.0012359574437141863,0.006544943153858118
526,0.06561797782778739,0.0015449453145266467,0.06407303251326074
527,0.03328651748597622,-0.00044944025576110214,0.03373595774173732
528,0.031348316371440865,-0.0014606744050980058,0.03280899077653887
529,0.022500000521540664,0.0009550511837006503,0.021544949337840014
