rep,benefit_low,benefit_high,benefit_attenuation,slope_vs_coverage
1500,0.019769778195768584,0.010097344033420108,0.009672434162348476,-0.028471614656651854
1501,0.059935105778276876,0.0025339923799038155,0.05740111339837306,-0.06589511458466679
1502,0.06038318667560816,0.0018464135006069915,0.05853677317500117,-0.08318912034354559
1503,0.024443759396672232,0.007200246118009068,0.017243513278663164,-0.02215397217106527
1504,0.04519468247890471,0.017042644973844306,0.0281520375050604,-0.04034112901767573
1505,0.04346415270119902,0.009386589378118537,0.034077563323080484,-0.05146522219406389
1506,0.010699940100312277,-0.0007725574076175579,0.011472497507929835,-0.015855920714576116
1507,0.014392768684774682,0.008683561254292704,0.005709207430481977,-0.012065481358185132
1508,-0.0006953030824661255,0.002781210280954849,-0.0034765133634209744,0.003925351316972468
1509,0.004735784232616447,0.0070766372606158034,-0.0023408530279993567,-0.0001801376480882272
1510,0.01364338714629415,-0.0017150809988379367,0.015358468145132087,-0.01990035911340541
1511,0.003870520833879676,0.011688811518251851,-0.007818290684372176,0.007426358686714646
1512,0.01329573607072232,0.008220025338232517,0.005075710732489802,-0.01910971087835182
1513,-0.0019468499347567447,-0.0011356597766280507,-0.000811190158128694,0.005147129197309617
1514,0.017135351337492444,-0.006149567663669586,0.02328491900116203,-0.031643250511913724
1515,0.008544499799609168,0.00492892786860466,0.0036155719310045076,-0.005514935840193783
1516,0.027588070742785936,0.01217552525922655,0.015412545483559387,-0.019252162026922877
1517,0.005570147652178975,0.012693141121417284,-0.007122993469238309,0.00014546881543430309
1518,0.01973115243017673,0.0026807768270373233,0.017050375603139406,-0.026662702404144336
1519,0.037252781167626314,0.028491964936256386,0.008760816231369928,-0.02913940748790409
1520,0.02140760309994219,0.0027348592877387556,0.018672743812203435,-0.023935753043468403
1521,0.027734857983887196,-0.004712609667330947,0.03244746765121814,-0.035512830080782425
1522,0.013658838439732784,0.01597651280462742,-0.002317674364894634,-0.001048420642207286
1523,0.010622683726251136,0.022149258013814677,-0.01152657428756354,0.005523981281170007
1524,0.04459981685504316,0.003847343474626508,0.040752473380416654,-0.057256779147357474
1525,0.03235475756227968,-0.0006644017994403839,0.03301915936172006,-0.04134583427775195
1526,0.04075247310101984,0.001444683875888586,0.03930778922513126,-0.05831876339890602
1527,-0.012415019143372813,0.022156984359025994,-0.03457200350239881,0.03319289264519046
1528,-0.003723734524101019,0.012770395167171988,-0.016494129691273007,0.013102597570637418
1529,0.014137824252247744,0.023199938982725155,-0.00906211473047741,1.9598307042695577e-05
