rep,benefit_low,benefit_high,benefit_attenuation,slope_vs_coverage
30,0.0038958333333333206,0.004833333333333301,-0.00093749999999998,0.0032500000000000185
31,0.0,0.0030000000000000027,-0.0030000000000000027,0.0009000000000000348
32,-0.006437499999999985,-0.0013541666666667118,-0.005083333333333273,0.004499999999999949
33,0.012333333333333363,0.00047916666666664165,0.011854166666666721,-0.026616666666666764
34,-0.006541666666666668,-0.0009166666666666767,-0.005624999999999991,0.012433333333333338
35,0.0034374999999999267,0.009354166666666719,-0.005916666666666792,-0.003966666666666537
36,0.02860416666666668,0.0016041666666666843,0.026999999999999996,-0.07193333333333331
37,-0.01085416666666661,0.0061875000000000124,-0.01704166666666662,0.032899999999999874
38,-0.0013541666666666563,-0.0008541666666666003,-0.000500000000000056,0.004566666666666651
39,0.002333333333333354,-0.0014791666666666425,0.0038124999999999964,-0.00851666666666668
40,0.015291666666666648,0.002104166666666629,0.013187500000000019,-0.032150000000000026
41,0.00970833333333343,-0.0015833333333333255,0.011291666666666755,-0.02453333333333351
42,0.010291666666666699,0.00122916666666667,0.009062500000000029,-0.02158333333333337
43,0.00427083333333339,-0.00216666666666665,0.00643750000000004,-0.011016666666666761
44,0.003208333333333313,-6.250000000002087e-05,0.003270833333333334,-0.008616666666666623
45,-0.00014583333333328952,0.004458333333333342,-0.0046041666666666314,0.007683333333333217
46,-0.00620833333333326,0.0010000000000000009,-0.007208333333333261,0.010766666666666497
47,0.0028958333333333197,-0.00047916666666664165,0.0033749999999999614,-0.009066666666666594
48,0.009374999999999967,0.000250000000000028,0.009124999999999939,-0.022066666666666627
49,0.0066041666666666055,0.0018124999999999947,0.004791666666666611,-0.015166666666666564
50,0.008666666666666656,0.002041666666666664,0.006624999999999992,-0.01196666666666663
51,0.0078124999999999445,0.005416666666666736,0.0023958333333332082,-0.013883333333333107
52,0.0016458333333333464,-0.0018750000000000155,0.003520833333333362,-0.012016666666666644
53,0.00760416666666669,0.0008958333333333179,0.006708333333333372,-0.01623333333333341
54,-0.00024999999999997247,-0.001083333333333325,0.0008333333333333526,-0.0032666666666666608
55,0.006583333333333274,-0.0006041666666666834,0.007187499999999958,-0.014583333333333254
56,-0.0003333333333332966,0.0059791666666666465,-0.006312499999999943,0.014883333333333219
57,0.000791666666666635,-4.166666666671759e-05,0.0008333333333333526,0.003000000000000024
58,-0.0005833333333333246,-0.001625000000000043,0.0010416666666667185,-0.004433333333333419
59,0.01822916666666663,0.00022916666666666918,0.01799999999999996,-0.041699999999999925
