rep,novelty_diff,hardness_diff,raw_selected_loss_diff,schedule_overlap
1600,0.24776221275096755,-0.012121624785336117,-0.0007639482617378207,0.40625
1601,0.2334154010721249,-0.0058251918046374005,-0.0012907266616821321,0.421875
1602,0.2065438254969194,-0.013363167735915954,-0.0009420335292816103,0.43125
1603,0.22374307356076312,-0.024173381185385458,-0.0032984912395477178,0.43125
1604,0.25365218403458123,0.0032689074468054994,6.157755851745133e-05,0.44375
1605,0.22575202091829846,-0.0005073072286070901,0.0004767134785652164,0.446875
1606,0.2521820789319463,0.018013711709759458,0.00257445275783538,0.4125
1607,0.24469134945538823,0.009149220163931998,-0.000834512710571289,0.43125
1608,0.2283572922868188,-0.0246401036364717,-0.0025261625647544717,0.425
1609,0.2570446516416268,-0.011224708203681294,-0.0005965262651443471,0.415625
1610,0.23700793973985124,-0.0006560103284465066,-1.5340745449059813e-05,0.434375
1611,0.2305210207472555,-0.003538275218715958,-0.0006631508469581581,0.403125
1612,0.21193847879767413,0.006279608487172628,8.977055549620467e-05,0.409375
1613,0.21956803892971943,-0.0014830229278683525,-0.0024558410048484804,0.403125
1614,0.24021899227518584,-0.025854740680857975,-0.002902632951736441,0.403125
1615,0.22027965025044974,-0.0043781937479475995,-0.0008937180042266826,0.384375
1616,0.2439764944952912,0.01455165912577085,0.0012309834361076267,0.403125
1617,0.23690205066814082,0.0011722509159144772,-0.001172204315662387,0.428125
1618,0.23877667325432408,-0.011668314195675093,-0.0022751644253730737,0.425
1619,0.24034326850669455,-0.00835200113116877,-0.0005746379494666997,0.428125
1620,0.23266563289216716,-0.005017302780620798,-0.0006864517927169843,0.43125
1621,0.19725999629008578,-0.023394448047411857,-0.0011027753353118808,0.39375
1622,0.21989755391259674,0.001950749845242889,-0.00014946162700652654,0.428125
1623,0.22050166804110627,-0.0196177537920371,-0.0018782854080200083,0.396875
1624,0.235079396830406,-0.017463805720834384,-0.0024438455700874226,0.415625
1625,0.2431305250676814,-0.020367595210138346,-0.00248654335737228,0.440625
1626,0.24630771432421167,-0.006638072430904708,-0.0015561580657958859,0.4
1627,0.22052842322736974,-0.040656929032842244,-0.005925992131233207,0.425
1628,0.22311993431940205,-0.01969130570740947,-0.0019293889403343123,0.43125
1629,0.21784467003308233,-0.026757044288705206,-0.002514362335205074,0.44375
