rep,novelty_diff,hardness_diff,raw_selected_loss_diff,schedule_overlap,heldout_benefit,clean_benefit,p10_benefit,min_benefit
1600,0.24776221275096755,-0.012121624785336117,-0.0007639482617378207,0.40625,0.0652194049209357,-0.05067983269691467,0.0543881356716156,0.04820767045021057
1601,0.2334154010721249,-0.0058251918046374005,-0.0012907266616821321,0.421875,0.12662236988544467,0.09517922997474676,0.1355995237827301,0.061804696917533875
1602,0.2065438254969194,-0.013363167735915954,-0.0009420335292816103,0.43125,0.0402966642752291,0.07540172338485718,0.05166872739791872,0.04449938237667081
1603,0.22374307356076312,-0.024173381185385458,-0.0032984912395477178,0.43125,0.014091473259031817,0.029666244983673096,0.015574780106544506,-0.0210136026144028
1604,0.25365218403458123,0.0032689074468054994,6.157755851745133e-05,0.44375,0.0462762691080571,-0.042027175426483154,0.0846724450588226,0.02472187578678131
1605,0.22575202091829846,-0.0005073072286070901,0.0004767134785652164,0.446875,0.05653584096580744,-0.0358467698097229,0.0851668536663055,0.07292954623699188
1606,0.2521820789319463,0.018013711709759458,0.00257445275783538,0.4125,0.014724969863891602,0.012360960245132502,0.010877612233161915,0.024721860885620173
1607,0.24469134945538823,0.009149220163931998,-0.000834512710571289,0.43125,0.10580963920801884,-0.006180465221405029,0.048084059357643205,-0.013597026467323303
1608,0.2283572922868188,-0.0246401036364717,-0.0025261625647544717,0.425,0.05644313823431729,-0.07540172338485718,0.09901111423969278,0.0655129700899125
1609,0.2570446516416268,-0.011224708203681294,-0.0005965262651443471,0.415625,0.04667799845337872,-0.06304079294204712,0.039554998278617914,0.04202719032764432
1610,0.23700793973985124,-0.0006560103284465066,-1.5340745449059813e-05,0.434375,0.07575710620731113,-0.04449939727783203,0.07639058828353879,0.04326328635215759
1611,0.2305210207472555,-0.003538275218715958,-0.0006631508469581581,0.403125,0.0476359702646732,-0.10259580612182623,0.1021013796329499,0.1211372017860412
1612,0.21193847879767413,0.006279608487172628,8.977055549620467e-05,0.409375,0.03346724417060609,-0.0012360811233520508,0.048825705051422086,0.07911001145839688
1613,0.21956803892971943,-0.0014830229278683525,-0.0024558410048484804,0.403125,-0.06375154536217453,-0.1025957465171814,-0.007292938232421942,0.03831891715526581
1614,0.24021899227518584,-0.025854740680857975,-0.002902632951736441,0.403125,0.08530593346804383,0.05315202474594122,0.0609394133090973,0.11372065544128418
1615,0.22027965025044974,-0.0043781937479475995,-0.0008937180042266826,0.384375,0.05118974074721333,-0.03831887245178223,0.06242273449897773,0.058096408843994196
1616,0.2439764944952912,0.01455165912577085,0.0012309834361076267,0.403125,0.06693448666483165,-0.11495673656463623,0.0679851770401001,-0.009888753294944708
1617,0.23690205066814082,0.0011722509159144772,-0.001172204315662387,0.428125,-0.00710753947496412,-0.03955501317977905,0.004573565721511852,0.004944384098052895
1618,0.23877667325432408,-0.011668314195675093,-0.0022751644253730737,0.425,0.03834981191903358,0.06551298499107366,0.0007416576147079024,-0.009888753294944791
1619,0.24034326850669455,-0.00835200113116877,-0.0005746379494666997,0.428125,0.10468170642852781,0.11619281768798828,0.058096396923065285,0.06304079294204706
1620,0.23266563289216716,-0.005017302780620798,-0.0006864517927169843,0.43125,0.0706736713647842,-0.076637864112854,0.05092706978321071,0.0284301638603211
1621,0.19725999629008578,-0.023394448047411857,-0.0011027753353118808,0.39375,0.04448393061757089,0.042027175426483154,0.10531518906354898,0.09517924487590793
1622,0.21989755391259674,0.001950749845242889,-0.00014946162700652654,0.428125,0.04284610431641339,0.03337451815605158,0.0946848213672637,0.040791094303131104
1623,0.22050166804110627,-0.0196177537920371,-0.0018782854080200083,0.396875,0.053661924973130215,0.08158218860626221,0.07985166907310487,0.0012360811233519953
1624,0.235079396830406,-0.017463805720834384,-0.0024438455700874226,0.415625,-0.038535226136446,0.002472221851348877,-0.012484541535377536,0.06674906611442569
1625,0.2431305250676814,-0.020367595210138346,-0.00248654335737228,0.440625,0.08000618051737551,-0.10877621173858643,0.08108776509761817,0.07540173828601843
1626,0.24630771432421167,-0.006638072430904708,-0.0015561580657958859,0.4,-0.0012206425890325945,-0.028430163860321045,0.005191600322723422,0.0704573541879654
1627,0.22052842322736974,-0.040656929032842244,-0.005925992131233207,0.425,0.05815822035074231,0.043263256549835205,0.04351050555706032,-0.02595797181129461
1628,0.22311993431940205,-0.01969130570740947,-0.0019293889403343123,0.43125,0.032138440199196316,-0.11372062563896185,0.06328800022602082,-0.050679847598075894
1629,0.21784467003308233,-0.026757044288705206,-0.002514362335205074,0.44375,0.05341471135616299,-0.13226205110549927,0.03597032129764555,-0.014833122491836576
